time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-28T19:04:02.882Z,38.654,-118.7896,8.6,1.1,ml,9,102.82,0.211,0.1491,nn,nn00567926,2016-11-28T22:21:06.436Z,"20km NW of Hawthorne, Nevada",earthquake,,6.2,0.21,3,reviewed,nn,nn
2016-11-28T18:44:02.045Z,61.6839,-151.8106,96.5,2.2,ml,,,,0.46,ak,ak14474757,2016-11-28T18:57:14.202Z,"94km W of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-11-28T18:42:24.070Z,33.1358333,-116.6413333,2.8,1.59,ml,47,59,0.06334,0.17,ci,ci37752136,2016-11-29T02:47:56.910Z,"7km NNW of Julian, CA",earthquake,0.19,0.31,0.146,52,reviewed,ci,ci
2016-11-28T18:26:22.800Z,40.4706667,-121.521,2.96,1.19,md,9,126,0.006835,0.06,nc,nc72730415,2016-11-28T19:54:03.718Z,"30km NW of Chester, California",earthquake,0.34,0.62,0.226,9,reviewed,nc,nc
2016-11-28T18:18:50.520Z,38.8333321,-122.8479996,1.52,1.15,md,8,131,0.01109,0.01,nc,nc72730410,2016-11-28T18:35:02.663Z,"10km W of Cobb, California",earthquake,0.4,1.39,0.24,2,automatic,nc,nc
2016-11-28T18:08:04.860Z,33.8345,-117.5006667,2.53,1.52,ml,39,49,0.04937,0.22,ci,ci37752128,2016-11-28T18:11:42.053Z,"5km SSE of Home Gardens, CA",quarry blast,0.31,0.52,0.241,33,automatic,ci,ci
2016-11-28T17:56:41.860Z,12.2911,144.6243,18.64,4.8,mb,,148,1.312,0.6,us,us10007cyl,2016-11-28T18:13:45.040Z,"107km S of Merizo Village, Guam",earthquake,13,6.2,0.103,29,reviewed,us,us
2016-11-28T17:48:07.474Z,60.1565,-153.3834,153.3,2,ml,,,,0.45,ak,ak14473670,2016-11-28T23:53:18.606Z,"50km SW of Redoubt Volcano, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2016-11-28T17:46:31.130Z,53.5184,-163.6269,25.22,4.6,mb,,170,1.346,0.74,us,us10007cyf,2016-11-28T18:22:22.040Z,"148km S of False Pass, Alaska",earthquake,7.8,6.5,0.074,55,reviewed,us,us
2016-11-28T17:08:58.600Z,38.8325,-122.7988333,1.84,2.36,md,62,45,0.008875,0.04,nc,nc72730395,2016-11-28T22:05:08.360Z,"6km W of Cobb, California",earthquake,0.1,0.14,0.154,46,reviewed,nc,nc
2016-11-28T17:08:32.500Z,19.3726673,-155.2851715,2.04,1.99,ml,29,54,0.01417,0.2,hv,hv61499026,2016-11-28T17:14:12.520Z,"8km SW of Volcano, Hawaii",earthquake,0.2,0.26,0.19,7,automatic,hv,hv
2016-11-28T17:05:45.190Z,35.8041649,-120.3386688,3.66,1.2,md,17,111,0.02889,0.02,nc,nc72730390,2016-11-28T17:27:03.466Z,"16km NNE of Shandon, California",earthquake,0.33,0.44,0.31,9,automatic,nc,nc
2016-11-28T17:02:37.707Z,64.4156,-147.4417,3.6,1.1,ml,,,,0.32,ak,ak14473664,2016-11-28T17:15:08.767Z,"28km WSW of Salcha, Alaska",earthquake,,0.8,,,automatic,ak,ak
2016-11-28T16:51:09.700Z,37.628334,-122.4738312,7.58,1.96,md,12,146,0.008878,0.01,nc,nc72730385,2016-11-28T21:38:34.454Z,"1km NE of Pacifica, California",earthquake,0.4,0.4,0.29,8,automatic,nc,nc
2016-11-28T16:38:36.450Z,34.0655,-119.0395,14.96,1.89,ml,23,129,0.1471,0.25,ci,ci37752096,2016-11-28T16:42:14.488Z,"17km S of Camarillo, CA",earthquake,0.81,0.89,0.239,32,automatic,ci,ci
2016-11-28T16:30:20.130Z,61.7691,-149.6727,43.7,1.5,ml,,,,0.41,ak,ak14472588,2016-11-28T16:37:20.673Z,"16km NNW of Meadow Lakes, Alaska",earthquake,,0.8,,,automatic,ak,ak
2016-11-28T16:00:09.229Z,60.9185,-138.4953,9.8,2.2,ml,,,,0.65,ak,ak14472586,2016-11-28T16:09:19.786Z,"56km WNW of Haines Junction, Canada",earthquake,,0.2,,,automatic,ak,ak
2016-11-28T15:54:13.460Z,60.0897,-153.4718,163.6,2.3,ml,,,,0.62,ak,ak14472582,2016-11-28T16:01:33.915Z,"59km SW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-11-28T15:36:26.070Z,37.6281667,-122.4713333,7.67,2.86,md,176,69,0.009426,0.09,nc,nc72730350,2016-11-29T09:21:54.492Z,"2km NE of Pacifica, California",earthquake,0.09,0.12,0.17,89,reviewed,nc,nc
2016-11-28T15:33:37.240Z,19.3948326,-155.2776642,1.88,1.87,ml,21,51,0.003833,0.2,hv,hv61498926,2016-11-28T15:39:18.810Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.21,0.21,3,automatic,hv,hv
2016-11-28T15:19:43.985Z,61.0632,-151.831,75.6,1.4,ml,,,,0.12,ak,ak14472578,2016-11-28T15:34:03.382Z,"50km NW of Nikiski, Alaska",earthquake,,1.9,,,automatic,ak,ak
2016-11-28T15:12:30.033Z,58.2728,-151.5496,5.7,2.5,ml,,,,0.81,ak,ak14472576,2016-11-28T15:26:17.301Z,"73km NE of Kodiak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-11-28T14:53:09.036Z,64.9366,-149.0816,32,1.3,ml,,,,0.72,ak,ak14471504,2016-11-28T14:59:37.278Z,"39km N of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2016-11-28T14:33:54.111Z,65.3889,-144.7627,0,2,ml,,,,0.65,ak,ak14471502,2016-11-28T14:51:51.479Z,"9km SSW of Circle Hot Springs Station, Alaska",earthquake,,0.3,,,automatic,ak,ak
2016-11-28T14:26:42.077Z,63.2405,-150.7778,125.9,1.5,ml,,,,0.25,ak,ak14471501,2016-11-28T23:01:23.301Z,"93km W of Cantwell, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2016-11-28T14:15:22.130Z,59.8839,-153.3259,134.9,2.6,ml,,,,0.87,ak,ak14471497,2016-11-28T14:30:45.656Z,"74km SSW of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
2016-11-28T14:07:09.670Z,19.3875008,-155.238327,3.77,2.23,ml,22,121,0.01241,0.19,hv,hv61498831,2016-11-28T14:12:50.290Z,"4km S of Volcano, Hawaii",earthquake,0.35,0.39,0.25,7,automatic,hv,hv
